,molecule_chembl_id,Smiles,pIC50,bioactivity_class,mol,mr,logp,mw,balabanJ,bertzCT,tpsa,labuteASA,numHBA,numHBD
0,CHEMBL3404003,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)N(C)Cc2nc3ccccc3s2)C(C)C)ccc1OC,7.523,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BABBBC0>,158.87019999999967,4.427400000000004,584.7390000000003,1.3879791903374687,1282.1283852684774,102.46,245.07511254199713,9,1
1,CHEMBL3403999,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)NCc2ccco2)C(C)C)ccc1OC,7.046,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF870D0>,133.33089999999996,3.068500000000001,503.5960000000003,1.632149695409441,964.4523422973504,111.5,211.75285242198885,8,2
2,CHEMBL4109808,COCCCOc1ccc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc1OCCCOC,7.469,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF873A0>,121.31070000000007,2.5576000000000008,450.5760000000004,1.732491153047368,705.7298928794806,78.49000000000001,191.0276429729671,7,1
3,CHEMBL557193,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,9.0,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF87170>,144.55989999999989,4.367800000000004,517.1510000000003,1.155997433346007e-05,704.1492281290263,103.04,218.43442519575643,6,3
4,CHEMBL4114302,COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2cccnc21,8.444,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF87260>,113.44540000000003,1.2178000000000002,430.50900000000024,1.5406297023682474,921.7307576394752,110.61000000000001,180.81211119455094,8,2
5,CHEMBL536982,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCSCC2)C(C)C)ccc1OC.Cl,8.0,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF87080>,163.41689999999966,3.6165000000000034,590.2710000000004,7.604978200040836e-06,813.1277411396813,106.28,246.04142196658898,8,3
6,CHEMBL558370,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCC(=O)OC)c1)C(C)C.Cl,8.222,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF87030>,152.2308999999998,4.793200000000005,543.1890000000003,1.2959969734874253e-05,825.0052896416731,110.88000000000001,230.21228629508653,6,3
7,CHEMBL4127686,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)cnn1-c1ccccc1,8.886,1,<rdkit.Chem.rdchem.Mol object at 0x000002E58BF875D0>,146.4161999999998,2.776500000000002,525.6940000000004,1.576253068945805,1034.8443757815555,88.93,226.00257494651163,7,1
8,CHEMBL2387566,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2.O=C(O)/C=C/C(=O)O,8.886,1,<rdkit.Chem.rdchem.Mol object at 0x000002E587AD9CB0>,181.23129999999964,2.8853000000000026,691.2660000000002,5.788498033551209e-07,1353.7887532377072,193.73,286.84333780109495,8,6
9,CHEMBL558576,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,8.0,1,<rdkit.Chem.rdchem.Mol object at 0x000002E5899921C0>,148.01029999999983,2.689100000000003,546.1490000000003,1.2959969313675948e-05,808.3461809027207,146.13,227.93583799281285,7,4
